Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE45331971456615,Sun Feb 16 12:41:11 CET 2020,-538.88,EUR,Magni nisi similique quia assumenda temporibus placeat.
Jos,BE69771770897312,BE31388498154487,Mon Feb 10 00:22:47 CET 2020,-411.57,EUR,A sunt dignissimos sint.
Jos,BE69771770897312,BE12410640818868,Sat Feb 15 09:56:55 CET 2020,-4536.1,EUR,Odit molestiae et omnis.
Jos,BE69771770897312,BE63819689276205,Sat Feb 15 12:13:48 CET 2020,2781.24,EUR,Aut eum labore at consequatur vel ratione eligendi.
Jos,BE69771770897312,BE14192796392128,Tue Feb 18 23:36:42 CET 2020,-1767.75,EUR,Eveniet minus minus blanditiis dignissimos.
Jos,BE69771770897312,BE89821432839776,Sat Feb 15 00:38:18 CET 2020,-1185.84,EUR,Accusantium debitis totam pariatur id dicta.
Jos,BE69771770897312,BE63069161306746,Fri Feb 14 12:56:03 CET 2020,2956.75,EUR,Voluptates ipsum qui repudiandae sit et.
Jos,BE69771770897312,BE49151002436446,Sun Feb 16 15:26:27 CET 2020,2213.56,EUR,Tempora et quibusdam error.
Jos,BE69771770897312,BE97970572809640,Mon Feb 03 03:07:14 CET 2020,4636.47,EUR,Ratione molestiae commodi tempore impedit maiores totam.
Jos,BE69771770897312,BE57974083152866,Tue Feb 18 05:19:49 CET 2020,-4068.43,EUR,Officia consectetur illo exercitationem.
Jos,BE69771770897312,BE69543968163876,Wed Feb 12 07:53:25 CET 2020,2936.92,EUR,Laborum cupiditate asperiores eum velit fugit asperiores.
Jos,BE69771770897312,BE94188677148821,Tue Feb 18 23:05:34 CET 2020,-1858.34,EUR,Deleniti rerum sit praesentium qui aliquam.
Jos,BE69771770897312,BE68189352648171,Mon Feb 17 08:56:49 CET 2020,4717.63,EUR,Odio fuga velit.
Jos,BE69771770897312,BE12861917156146,Fri Feb 14 02:24:59 CET 2020,2159.09,EUR,Accusamus cum soluta facilis qui.
Jos,BE69771770897312,BE73015781155377,Fri Feb 07 09:22:01 CET 2020,905.26,EUR,Ut voluptas qui quia.
Jos,BE69771770897312,BE20951199443249,Wed Feb 12 02:13:48 CET 2020,-2296.75,EUR,Vel vel neque dolor earum quasi ut.
Jos,BE69771770897312,BE12073816984169,Wed Feb 19 05:45:16 CET 2020,-1353.93,EUR,Consequatur officiis alias itaque qui vitae aut autem.
